ID,2006-11-BizGroup,2006-11-Education,2006-11-MonthsOfExp,2006-12-BizGroup,2006-12-Education,2006-12-MonthsOfExp,2007-1-BizGroup,2007-1-Education,2007-1-MonthsOfExp,2007-2-BizGroup,2007-2-Education,2007-2-MonthsOfExp,2007-3-BizGroup,2007-3-Education,2007-3-MonthsOfExp
7416263,,,,,,,,,,,,,,,
6778232,,,,,,,,,,,,,,,
7325869,,,,,,,,,,,,,,,
7413279,,,,,,,,,,,,,,,
7241903,,,,,,,,,,,,,,,
7308825,,,,,,,,,,,,,,,
41794,,,,,,,,,,,,,,,
4279897,,,,,,,,,,,,,,,
5048982,,,,,,,,,,,,,,,
6404791,,,,,,,,,,,,,,,
6309522,,,,,,,,,,,,,,,
7097227,,,,,,,,,,,,,,,
5146678,,,,,,,,,,,,,,,
7369421,,,,,,,,,,,,,,,
41404,,,,,,,,,,,,,,,
7097229,,,,,,,,,,,,,,,
2602185,,,,,,,,,,,,,,,
413692,,,,,,,Technology and Manufacturing,3,0,Technology and Manufacturing,3,1,Technology and Manufacturing,3,2
4280167,,,,,,,,,,,,,,,
7119842,,,,,,,,,,,,,,,
6656998,,,,,,,,,,,,,,,
6543128,,,,,,,,,,,,,,,
4846355,,,,,,,,,,,,,,,
7271301,,,,,,,,,,,,,,,
5424637,,,,,,,,,,,,,,,
4283058,,,,,,,,,,,,,,,
4859705,,,,,,,,,,,,,,,
99788,,,,,,,,,,,,,,,
5198870,,,,,,,,,,,,,,,
109684,,,,,,,,,,,,,,,
97477,,,,,,,,,,,,,,,
44714,,,,,,,,,,,,,,,
102024,,,,,,,,,,,,,,,
102192,,,,,,,,,,,,,,,
95985,,,,,,,,,,,,,,,
45991,,,,,,,,,,,,,,,
102329,,,,,,,,,,,,,,,
100144,,,,,,,,,,,,,,,
79994,,,,,,,,,,,,,Finance,0,0
60504,,,,,,,,,,,,,,,
3079033,,,,,,,,,,,,,,,
7163575,,,,,,,,,,,,,,,
7293274,,,,,,,,,,,,,,,
48120,,,,,,,,,,,,,,,
47081,,,,,,,,,,,,,,,
38395,,,,,,,,,,,,,,,
672402,,,,,,,,,,,,,,,
48077,,,,,,,,,,,,,,,
68616,,,,,,,,,,,,,,,
112358,,,,Technology and Manufacturing,0,0,Technology and Manufacturing,0,1,Technology and Manufacturing,0,2,Technology and Manufacturing,0,3
6869540,,,,,,,,,,,,,,,
6564305,,,,,,,,,,,,,,,
3874906,,,,,,,,,,,,,,,
3734143,,,,,,,,,,,,,,,
82678,,,,,,,,,,,,,,,
342473,Information Technology (IT),0,0,Information Technology (IT),0,1,Information Technology (IT),0,2,Information Technology (IT),0,3,Information Technology (IT),0,4
6805604,,,,,,,,,,,,,,,
175980,,,,,,,,,,,,,,,
94046,,,,,,,,,,,,,,,
7117033,,,,,,,,,,,,,,,
7293033,,,,,,,,,,,,,,,
7240238,,,,,,,,,,,,,,,
48079,,,,,,,,,,,,,,,
7292249,,,,,,,,,,,,,,,
7159184,,,,,,,,,,,,,,,
5414472,,,,,,,,,,,,,,,
46553,,,,,,,,,,,,,,,
4367454,,,,,,,,,,,,,,,
4844937,,,,,,,,,,,,,,,
44648,,,,,,,,,,,,,,,
